Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized
Coskewness,2000,1964,1993,1964-01-01,1993-12-31,0.4239204485165234,360,2001-01-01,2024-12-31,0.3468796636380641,288,0.1103092907763779,1170,0.3,1.96,0.3578454042367085
DebtIssuance,1999,1975,1989,1975-01-01,1989-12-31,0.7635572000382329,180,2000-01-01,2024-12-31,0.16968561478335045,300,0.5407582558548946,636,0.29,2.19,0.5654555685462828
DelDRC,2013,2002,2007,2002-01-01,2007-12-31,0.6734805574334884,72,2014-01-01,2024-12-31,0.373525229366814,132,0.31620715072621247,294,,3.59,1.4656113627652683
DownRecomm,2001,1985,1997,1985-01-01,1997-12-31,2.6080744753130625,49,2002-01-01,2024-12-31,0.6049302901121986,276,1.022194539306063,373,,,
FirmAge,1984,1931,1980,1931-01-01,1980-12-31,-0.008771353455396686,600,1985-01-01,2024-12-31,-0.1795283961544663,480,-0.13795165113909783,1158,,2.48,0.35072496346852755
FR,2006,1980,2002,1980-01-01,2002-12-31,0.36213486994908917,258,2007-01-01,2024-12-31,-0.35457440481534797,216,-0.0940152265303249,522,0.4875,,
GrLTNOA,2003,1964,1993,1964-01-01,1993-12-31,0.6773682771887722,360,2004-01-01,2024-12-31,-0.11488080255678976,252,0.33838011674403035,870,0.61,,
GrSaleToGrInv,1998,1974,1988,1974-01-01,1988-12-31,0.8782379670120071,180,1999-01-01,2024-12-31,-0.06152647136396411,312,0.5320499611942375,870,,2.372,0.6124477664802661
GrSaleToGrOverhead,1998,1974,1988,1974-01-01,1988-12-31,-0.11207558047094383,180,1999-01-01,2024-12-31,-0.23087740858530634,312,-0.0014184575968007697,870,,2.069,0.5342135028868763
HerfAsset,2006,1963,2001,1963-01-01,2001-12-31,0.2687164593288484,468,2007-01-01,2024-12-31,-0.48138356195600585,216,-0.028839748500032368,877,0.2,2.12,0.3394716860667847
High52,2004,1963,2001,1963-01-01,2001-12-31,0.30127261071630457,468,2005-01-01,2024-12-31,0.14396217047824514,240,0.020232945296200233,1182,0.45,2.0,0.3202563076101742
IO_ShortInterest,2005,1980,2002,1980-01-01,2002-12-31,0.6392760466398273,276,2006-01-01,2024-12-31,0.7220527472700252,228,0.6375076972518798,541,0.98,,
MomOffSeason11YrPlus,2008,1965,2002,1965-01-01,2002-12-31,0.2538233158174948,456,2009-01-01,2024-12-31,0.05233778173113361,192,0.2637693144220056,1067,0.19,1.77,0.28713191540144967
MRreversal,1985,1933,1980,1933-01-01,1980-12-31,0.30092740704513815,576,1986-01-01,2024-12-31,0.3018344818888906,468,0.3035800426022905,1170,0.75,,
NumEarnIncrease,2012,1987,2009,1987-01-01,2009-12-31,1.3601266596245403,276,2013-01-01,2024-12-31,0.6636137259483341,144,1.183841393616987,732,,,
OperProf,2006,1977,2003,1977-01-01,2003-12-31,0.5828474241700491,324,2007-01-01,2024-12-31,0.5587737111089826,216,0.46183727922377354,738,,2.55,0.49074772881118184
OperProfRD,2016,1963,2014,1963-01-01,2014-12-31,0.2589991010983484,618,2017-01-01,2024-12-31,0.5880770117002863,96,0.33098575098257055,738,0.29,1.84,0.2563977492593153
OptionVolume2,2012,1996,2010,1996-01-01,2010-12-31,0.5885476095038428,177,2013-01-01,2024-12-31,-0.42608915917443485,129,0.32930441601911054,330,0.516,2.45,0.637925663806037
PredictedFE,1998,1979,1993,1979-01-01,1993-12-31,0.4012613079078993,126,1999-01-01,2024-12-31,-0.030617557632726923,312,0.08586208073559451,498,,,
PriceDelaySlope,2005,1964,2001,1964-01-01,2001-12-31,0.3023231050157515,456,2006-01-01,2024-12-31,-0.13791742819605976,224,0.18906351234134805,1165,1.21,7.7,1.2491049427068714
PriceDelayTstat,2005,1964,2001,1964-01-01,2001-12-31,0.3072406598446632,456,2006-01-01,2024-12-31,-0.1330648212656446,224,0.15695236989461928,1165,1.1,7.39,1.1988163021563352
ProbInformedTrading,2002,1984,1998,1984-01-01,1998-12-31,1.0656611633959494,60,2003-01-01,2024-12-31,0.13429553642953268,132,0.35983495619838785,240,,2.496,1.116245134367895
realestate,2010,1971,2005,1971-01-01,2005-12-31,0.3263162860870402,420,2011-01-01,2024-12-31,0.167749274105429,168,0.258226253091123,654,0.244166667,1.8,0.304255531702266
RoE,1996,1979,1993,1979-01-01,1993-12-31,0.7295721930802292,180,1997-01-01,2024-12-31,0.3901969847171989,336,0.3413638899662692,762,,4.5,1.161895003862225
ShareRepurchase,1995,1980,1990,1980-01-01,1990-12-31,1.1868876645315085,132,1996-01-01,2024-12-31,0.4467897308169934,348,0.4745527151037905,630,0.17,1.852179859,0.5584532396869426
ShortInterest,2001,1976,1993,1976-01-01,1993-12-31,1.2456544386940225,216,2002-01-01,2024-12-31,0.8294872280887171,276,0.8769896697787096,623,0.35,,
sinAlgo,2009,1926,2006,1926-01-01,2006-12-31,0.17847579378418782,972,2010-01-01,2024-12-31,-0.08290115548982586,180,0.14057186246357473,1188,0.3,2.0,0.22222222222222218
skew1,2010,1996,2005,1996-01-01,2005-12-31,0.9924426246267463,119,2011-01-01,2024-12-31,0.34418208445446885,145,0.6523140827452886,324,0.64,2.19,0.6954425469688016
SP,1996,1979,1991,1979-01-01,1991-12-31,0.7917460533644414,156,1997-01-01,2024-12-31,0.6048569529305892,336,0.6874341182782424,882,,2.52,0.6989222472437886
Spinoff,1993,1965,1988,1965-01-01,1988-12-31,0.4464235004011904,288,1994-01-01,2024-12-31,-0.02902369230222569,372,0.1845393007978982,1188,2.083333333,2.43,0.49602167291359367
UpRecomm,2001,1985,1997,1985-01-01,1997-12-31,2.5054068385148,49,2002-01-01,2024-12-31,0.5412374443529957,276,1.015168128134231,373,,,
VarCF,1996,1979,1993,1979-01-01,1993-12-31,-0.48257357495102376,180,1997-01-01,2024-12-31,-0.032903036911887215,336,-0.2594823405067323,858,,2.5,0.6454972243679028
VolMkt,1996,1979,1993,1979-01-01,1993-12-31,0.4023165718867216,180,1997-01-01,2024-12-31,0.2554250387907922,336,0.1735099618971212,1182,,4.0,1.0327955589886444
VolumeTrend,1996,1979,1993,1979-01-01,1993-12-31,0.740545004281778,180,1997-01-01,2024-12-31,0.9605801649170878,336,0.5672392578525508,1158,,3.0,0.7745966692414833
