Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized,Test in OP,Signal Rep Quality,rel_err,abs_rel_err,raw_ls_test,sign_match
CitationsRD,2013,1982,2008,1982-01-01,2008-12-31,0.4279109800869099,324,2014-01-01,2024-12-31,0.09007863674257281,132,0.24290606813750493,570,0.26,2.6,0.5003702332976757,LS FF3 style,2_fair,-0.1448112785071669,0.1448112785071669,False,True
CompEquIss,2006,1968,2003,1968-01-01,2003-12-31,0.3692867618329216,432,2007-01-01,2024-12-31,0.5312047515312961,216,0.3166270869972088,1127,,4.39,0.7316666666666666,univariate reg,1_good,-0.4952800521645718,0.4952800521645718,False,True
CompositeDebtIssuance,2008,1970,2005,1970-01-01,2005-12-31,0.9306496168936957,432,2009-01-01,2024-12-31,0.5455030748438502,192,0.7233048678484214,822,0.523,8.59,1.4316666666666664,port sort CAPM alpha,1_good,-0.34995370182046853,0.34995370182046853,False,True
ConvDebt,2016,1985,2012,1985-01-01,2012-12-31,0.8157298142249522,336,2017-01-01,2024-12-31,0.5133935731370192,96,0.5215106101911653,888,,4.5,0.8504200642707612,mv reg,1_good,-0.04079189979549235,0.04079189979549235,False,True
CoskewACX,2006,1963,2001,1963-01-01,2001-12-31,0.4615131946657009,468,2007-01-01,2024-12-31,0.27098325009525753,216,0.41440148691579415,749,0.28,2.76,0.4419537045020404,port sort,1_good,0.04425687569628729,0.04425687569628729,True,True
CPVolSpread,2009,1996,2004,1996-01-01,2004-12-31,1.0597997131187427,107,2010-01-01,2024-12-31,0.8978683525694248,157,0.9165418522972941,324,1.045,4.2,1.4065268419085877,port sort,1_good,-0.2465129839394699,0.2465129839394699,True,True
dVolCall,2014,1996,2011,1996-01-01,2011-12-31,0.7252935649699923,190,2015-01-01,2024-12-31,0.847289624250253,97,0.6624172686379131,323,1.09,3.45,0.8670275901638097,port sort,1_good,-0.16347118223428073,0.16347118223428073,True,True
dVolPut,2014,1996,2011,1996-01-01,2011-12-31,0.3301085552255259,190,2015-01-01,2024-12-31,0.34062926564628143,97,0.337809254721988,323,0.42,2.03,0.5101640602992851,port sort,1_good,-0.3529364749216763,0.3529364749216763,True,True
dCPVolSpread,2014,1996,2011,1996-01-01,2011-12-31,1.8573992530431331,190,2015-01-01,2024-12-31,1.2003227098778082,97,1.5470118085813485,323,-1.68,6.77,1.701384575480867,port sort,1_good,0.09169865520743381,0.09169865520743381,True,True
CredRatDG,2001,1986,1998,1986-01-01,1998-12-31,0.643027456008929,156,2002-01-01,2024-12-31,0.21370381812736758,276,0.41497932392266734,658,1.316666667,11.04,3.0619450831632644,event study 3-month size+BM adjusted nonstandard data,4_lack_data,-0.7899937985352031,0.7899937985352031,False,True
